Namesake,Original,Namesake Coordinates,Original Coordinates
"Jeddo, Pennsylvania","Tokyo, Japan","(40.9956401, -75.8963099)","(35.6821936, 139.762221)"
"Riga, Michigan","Riga, Latvia","(41.8092159, -83.8249404)","(56.9493977, 24.1051846)"
"Livonia, Indiana","Livonia, Latvia","(38.5570015, -86.2774827)",
"Lebanon, Tennessee","Lebanon, Lebanon","(36.2079779, -86.2910945)","(40.3429683, -76.4233816)"
"Lebanon, Missouri","Lebanon, Lebanon","(37.6806669, -92.6637835)","(40.3429683, -76.4233816)"
"Lebanon, Connecticut","Lebanon, Lebanon","(41.6362097, -72.2125789)","(40.3429683, -76.4233816)"
"Lebanon, Indiana","Lebanon, Lebanon","(40.0483744, -86.4691677)","(40.3429683, -76.4233816)"
"Lebanon, Oregon","Lebanon, Lebanon","(44.5363364, -122.9072329)","(40.3429683, -76.4233816)"
"Balbec, Indiana","Baalbek, Lebanon","(40.5308784, -85.1488595)","(34.009653, 36.2117096)"
"Mt. Lebanon, Pennsylvania","Mount Lebanon, Lebanon","(40.3765, -80.0508)","(34.29, 36.092)"
"New Tripoli, Pennsylvania","Tripoli, Libya","(40.6809278, -75.7518575)","(32.896672, 13.1777923)"
"Wilno, Minnesota","Vilnius (Polish: Wilno), Lithuania","(44.4996864, -96.2314295)",
"Malta, Montana","Malta, Malta","(48.3596948, -107.8726879)","(35.8885993, 14.4476911)"
"Timbuctoo, California","Timbuktu, Mali","(39.2168373, -121.3185709)","(16.7719091, -3.0087272)"
"Acala, Texas","Acala Municipality, Chiapas, Mexico","(31.334013, -105.9144137)",
"Alvarado, Texas","Alvarado, Veracruz, Mexico","(32.4095565, -97.21028810404624)","(18.82874235, -95.9238540059007)"
"Arispie Township, Illinois","Arizpe, Sonora, Mexico",,"(30.43823295, -110.07884258637418)"
"Atrisco Land Grant, New Mexico","Atlixco, Jalisco, Mexico",,"(21.5115731, -101.7497358)"
"Buena Vista, Michigan","Buena Vista, Coahuila, Mexico","(43.4203028, -83.8985827)","(29.2478972, -100.9112585)"
"Buena Vista, Mississippi","Buena Vista, Coahuila, Mexico","(33.8845581, -88.8381097)","(29.2478972, -100.9112585)"
"Buena Vista Township, New Jersey","Buena Vista, Coahuila, Mexico","(39.5137271, -74.9246151)","(29.2478972, -100.9112585)"
"Camargo, Illinois","Camargo, Chihuahua, Mexico","(39.8003105, -88.1639315)","(28.0582028, -104.38010649057823)"
"Camargo, Kentucky","Camargo Municipality, Tamaulipas, Mexico","(37.9942469, -83.8876978)",
"Chalco, Nebraska","Chalco de Díaz Covarrubias, state of Mexico, Mexico","(41.1842027, -96.1498973)","(19.2612215, -98.8958362)"
"Churubusco, Indiana","Churubusco, Federal District, Mexico","(41.2306037, -85.3194291)",
"Cordova, Alabama","Córdoba, Veracruz, Mexico","(33.759672, -87.1831681)","(18.8944704, -96.9352891)"
"Durango, Colorado","Durango City, Durango, Mexico","(37.2395367, -107.82158179169292)","(19.4218737, -99.1562207)"
"La Paz, Arizona","La Paz, Baja California Sur, Mexico","(33.7923828, -114.0184443)","(24.1619948, -110.3158532)"
"Leon, Monroe County, Wisconsin","León, Guanajuato, Mexico","(43.8774673, -90.8301331)","(21.1218598, -101.6825081)"
"Contreras, Indiana","Magdalena Contreras, Federal District, Mexico","(39.56606, -84.937508)",
"Matamoras, Ohio","Matamoros, Tamaulipas, Mexico","(39.5225664, -81.064222)","(25.8810158, -97.5064866)"
"Matamoras, Pennsylvania","Matamoros, Tamaulipas, Mexico","(41.3687049, -74.7001632)","(25.8810158, -97.5064866)"
"Mexico, Maine","Mexico, Mexico","(44.557105, -70.543303)","(19.4326296, -99.1331785)"
"Mexico, Missouri","Mexico, Mexico","(39.1697626, -91.8829484)","(19.4326296, -99.1331785)"
"Mier, Indiana","Ciudad Mier, Tamaulipoas, Mexico","(40.5753176, -85.8255386)",
"Monterey, Indiana","Monterrey, Nuevo León, Mexico","(41.1569862, -86.4827853)","(25.6802019, -100.315258)"
"Parral, Ohio","Parral, Chihuahua, Mexico","(40.5611743, -81.4970623)","(31.7044778, -106.44261)"
"Perote, Alabama","Perote, Veracruz, Mexico","(31.9476561, -85.7052243)","(19.510864050000002, -97.26853448069734)"
"Saltillo, Indiana","Saltillo, Coahuila, Mexico","(38.6650551, -86.289151)","(25.4230425, -100.9927509)"
"Talpa, New Mexico","Talpa de Allende, Jalisco, Mexico","(36.3414149, -105.5969565)","(20.2986583, -104.9524361256174)"
"Tampico, Washington","Tampico, Tamaulipas, Mexico","(46.5351228, -120.867295)","(22.2157619, -97.8577713)"
"Tasco, Kansas","Taxco, Guerrero, Mexico","(39.3541709, -100.2912482)","(18.5565446, -99.6052838)"
"Toluca, Illinois","Toluca, state of Mexico, Mexico","(41.0022556, -89.133416)","(19.292545, -99.6569007)"
"Vera Cruz, Indiana","Veracruz, Veracruz, Mexico","(40.702178, -85.08030401670732)","(19.2003429, -96.1383572)"
"Jalapa, Tennessee","Xalapa, Veracruz, Mexico","(35.3442426, -84.3618679)","(19.5408338, -96.9146374)"
"Mogadore, Ohio","Essaouira, Morocco","(41.050775, -81.393946)","(31.5118281, -9.7620903)"
"Casablanca, North Carolina","Casablanca, Morocco","(34.611058549999996, -76.5400862099275)","(33.5945144, -7.6200284)"
"Morocco, Indiana","Morocco, Morocco","(40.9463651, -87.4529316)","(28.3347722, -10.371337908392647)"
"Tangier, Virginia","Tangier, Morocco","(37.8262373, -75.9916035)","(35.7642313, -5.842961427833071)"
"New Almelo, Kansas","Almelo, The Netherlands","(39.5941707, -100.1179098)","(52.3567956, 6.66725277634109)"
"Amsterdam, Georgia","Amsterdam, The Netherlands","(30.7271712, -84.432248)","(52.3730796, 4.8924534)"
"Amsterdam, Missouri","Amsterdam, The Netherlands","(38.3497423, -94.5891216)","(52.3730796, 4.8924534)"
"Amsterdam, Montana","Amsterdam, The Netherlands","(45.7579842, -111.3199589)","(52.3730796, 4.8924534)"
"Amsterdam, New Jersey","Amsterdam, The Netherlands","(40.5876009, -75.1585076)","(52.3730796, 4.8924534)"
"Amsterdam (city), New York","Amsterdam, The Netherlands","(40.7127281, -74.0060152)","(52.3730796, 4.8924534)"
"Amsterdam (town), New York","Amsterdam, The Netherlands","(42.955833, -74.185556)","(52.3730796, 4.8924534)"
"Amsterdam, Ohio","Amsterdam, The Netherlands","(40.4736758, -80.9228671)","(52.3730796, 4.8924534)"
"Amsterdam, Pennsylvania","Amsterdam, The Netherlands","(41.1339489, -80.1336712)","(52.3730796, 4.8924534)"
"Amsterdam, Texas","Amsterdam, The Netherlands","(29.5484875, -98.5325433)","(52.3730796, 4.8924534)"
"Amsterdam, Virginia","Amsterdam, The Netherlands","(37.4273514, -79.9061484)","(52.3730796, 4.8924534)"
"New Amsterdam, Indiana","Amsterdam, The Netherlands","(38.1026624, -86.27518931998216)","(52.3730796, 4.8924534)"
"New Amsterdam, Wisconsin","Amsterdam, The Netherlands","(43.9827405, -91.3165324)","(52.3730796, 4.8924534)"
"Arnheim, Michigan","Arnhem, The Netherlands","(46.9168742, -88.4826267)","(52.0056642, 5.8762345077641305)"
"Bergenfield, New Jersey","Bergen (North Holland) or Bergen-op-Zoom, The Netherlands","(40.9275987, -73.9973608)",
"North Bergen, New Jersey","Bergen (North Holland) or Bergen-op-Zoom, The Netherlands","(40.8042674, -74.012084)",
"Borculo, Michigan","Borculo, The Netherlands","(42.8853709, -86.0212227)","(52.114854, 6.5180361)"
"Brooklyn, New York","Breukelen, The Netherlands","(40.6526006, -73.9497211)","(52.171959, 5.002675)"
"Breda, Iowa","Breda, The Netherlands","(42.1816358, -94.9770476)","(51.5887845, 4.7760237)"
"Brielle, New Jersey","Brielle, The Netherlands","(40.1111487, -74.0587124)","(51.901662, 4.1626292)"
"Delft, Minnesota","Delft, The Netherlands","(43.9863749, -95.0889407)","(52.0114017, 4.35839)"
"Drenthe, Michigan","Drenthe, The Netherlands","(42.7828039, -85.9400362)","(52.9067922, 6.6368423)"
"Friesland, Wisconsin","Friesland, The Netherlands","(43.5885954, -89.067335)","(53.0923689, 5.777043)"
"Vriesland, Michigan","Friesland, The Netherlands","(42.8119701, -85.9403149)","(53.0923689, 5.777043)"
"Guilderland, New York","Gelderland, The Netherlands","(42.704522, -73.911513)","(52.1014041, 5.9515701)"
"Gravesend, New York","'s-Gravenzande, The Netherlands","(40.5961338, -73.9739426)","(52.0028294, 4.1603759)"
"Groningen, Minnesota","Groningen, The Netherlands","(46.1507815, -92.9240911)","(53.2190652, 6.5680077)"
"Harlem, New York","Haarlem, The Netherlands","(40.8078786, -73.9454154)","(52.3885317, 4.6388048)"
"Hague, New York","The Hague, The Netherlands","(43.745553, -73.498535)","(52.07494555, 4.2696802205364515)"
"Hague, North Dakota","The Hague, The Netherlands","(46.0281748, -99.9982432)","(52.07494555, 4.2696802205364515)"
"Harlingen, New Jersey","Harlingen, The Netherlands","(40.447605, -74.6623811)","(53.1752103, 5.4141998)"
"Harlingen, Texas","Harlingen, The Netherlands","(26.1907543, -97.6960599)","(53.1752103, 5.4141998)"
"Hempstead, New York","Heemstede, The Netherlands","(40.6736812, -73.6190736)","(52.3528406, 4.6217323)"
"Leyden, Massachusetts","Leiden, The Netherlands","(42.7017395, -72.6305336)","(52.1594747, 4.4908843)"
"Leyden, New York","Leiden, The Netherlands","(43.5339571, -75.378872)","(52.1594747, 4.4908843)"
"Leyden, Wisconsin","Leiden, The Netherlands","(42.7308562, -89.1307569)","(52.1594747, 4.4908843)"
"Middleborough, Massachusetts","Middelburg, The Netherlands","(41.8931576, -70.9111517)","(51.4996784, 3.6137371)"
"Middleburgh, New York","Middelburg, The Netherlands","(42.598687, -74.3329156)","(51.4996784, 3.6137371)"
"Nijmegen, North Carolina","Nijmegen, The Netherlands","(35.1379397, -79.0236399)","(51.842574850000005, 5.838960628748229)"
"Noordeloos, Michigan","Noordeloos, The Netherlands","(42.8414125, -86.058375)","(51.9038757, 4.9427289)"
"Oostburg, Wisconsin","Oostburg, The Netherlands","(43.6227748, -87.7945323)","(51.3271917, 3.4895533)"
"Overisel, Michigan","Overijssel, The Netherlands","(42.7283593, -86.0097593)","(52.4254143, 6.4610611)"
"Rotterdam (town), New York","Rotterdam, The Netherlands","(42.786763, -73.9720982)","(51.9244424, 4.47775)"
"Rotterdam (CDP), New York","Rotterdam, The Netherlands",,"(51.9244424, 4.47775)"
"South Holland, Illinois","South Holland (Zuid-Holland), The Netherlands","(41.6008681, -87.6069894)","(51.9966792, 4.5597397)"
"New Utrecht, New York","Utrecht, The Netherlands","(40.6131601, -73.9959725)","(52.0907006, 5.1215634)"
"Venlo, North Dakota","Venlo, The Netherlands","(46.4863566, -97.446203)","(51.39244885, 6.1511724144122955)"
"Flushing, New York","Vlissingen, The Netherlands","(40.7654301, -73.8174291)","(51.49433865, 3.415005767601362)"
"Zeeland, Michigan","Zeeland, The Netherlands","(42.8124349, -86.0288167)","(51.4162975, 3.7028061)"
"Zeeland, North Dakota","Zeeland, The Netherlands","(45.969984, -99.830673)","(51.4162975, 3.7028061)"
"Zutphen, Michigan","Zutphen, The Netherlands","(42.8258596, -85.8819796)","(52.1396933, 6.194772)"
"Zwolle, Louisiana","Zwolle, The Netherlands","(31.6314113, -93.6430702)","(52.514565250000004, 6.097720359677693)"
"Arendal Township, Minnesota","Arendal, Norway",,"(58.42673005, 8.94694911492874)"
"Aurdal Township, Minnesota","Aurdal, Norway",,"(60.9244603, 9.4149741)"
"Bergen, New Jersey","Bergen, Norway","(40.9678345, -74.0563254)","(60.3943055, 5.3259192)"
"Bergen, New York","Bergen, Norway","(43.0852666, -77.9418857)","(60.3943055, 5.3259192)"
"Bygland Township, Minnesota","Bygland, Norway",,"(58.87201925, 7.733850127918564)"
"Dovray, Minnesota","Dovre, Norway","(44.0528282, -95.5498853)","(62.11462645, 9.440367091535318)"
"Drammen, Wisconsin","Drammen, Norway","(44.64006425, -91.58972404773233)","(59.6964936, 10.175641950012762)"
"Eidsvold Township, Minnesota","Eidsvoll, Norway",,"(60.41629645, 11.255544249678406)"
"Folden Township, Minnesota","Folden, Norway",,"(63.36905645, 10.782602444239004)"
"Fossum Township, Minnesota","Fossum, Telemark, Norway","(44.487461550000006, -93.1742730842642)","(59.2433386, 9.5617787)"
"Frohn Township, Minnesota","Fron, Norway",,"(59.9344845, 10.7089418)"
"Hamar, North Dakota","Hamar, Norway","(47.8436098, -98.5734376)","(61.0014937, 11.16479641006573)"
"Hammerfest, North Dakota","Hammerfest, Norway",,"(70.6413392, 23.8360800591327)"
"Hitterdal, Minnesota","Heddal, Norway","(46.97746, -96.259228)","(59.581084, 9.1735834)"
"Hovland, Minnesota","Hoffland, Norway","(47.8395097, -89.9730038)","(62.4954032, 6.1969787)"
"Kongsberg, North Dakota","Kongsberg, Norway","(47.8513927, -100.8012554)","(59.594550049999995, 9.670860075643745)"
"Leer, Michigan","Lier, Buskerud, Norway","(45.1977898, -83.7394346)",
"Nerstrand, Minnesota","Nedstrand, Norway","(44.3419094, -93.0679881)","(59.3459105, 5.8590806)"
"Norway, Maine","Norway, Norway","(44.214202, -70.545273)","(64.5731537, 11.52803643954819)"
"Norum, North Dakota","Norum Parish, Sogn og Fjordane, Norway",,
"Oslo, Minnesota","Oslo, Norway","(48.1951323, -97.131159)","(59.9133301, 10.7389701)"
"Poulsbo, Washington","Paulsbo (a farm), Norway","(47.7391366, -122.63928)",
"Sandnes Township, Minnesota","Sandnes, Norway",,"(58.983132049999995, 6.394641047340787)"
"New Solum Township, Minnesota","Solum, Norway",,"(59.7291283, 11.4086181)"
"Soler Township, Minnesota","Solør, Norway",,"(69.1212223, 18.7518888)"
"Stavanger, Illinois","Stavanger, Norway","(41.3986432, -88.6139612)","(58.9699675, 5.7318101)"
"Sundal Township, Minnesota","Sundal, Norway",,"(62.8204361, 11.3472167)"
"Nidaros Township, Minnesota","Trondheim (formerly Nidaros), Norway",,
"Trysil, North Dakota","Trysil, Norway",,"(61.3561472, 12.36702596037586)"
"Tynsid Township, Minnesota","Tynset, Norway",,"(62.360107049999996, 10.532249364357114)"
"Kelat, Kentucky","Kalat, Pakistan","(38.5261844, -84.3121585)","(29.029138, 66.5887761)"
"Lahore, Virginia","Lahore, Pakistan","(38.1987457, -77.9694418)","(31.5656822, 74.3141829)"
"Palestine, Ohio","Palestine, Palestine","(40.0494926, -84.7432923)","(31.462420950000002, 34.26272151195113)"
"East Palestine, Ohio","Palestine, Palestine","(40.8339509, -80.5403469)","(31.462420950000002, 34.26272151195113)"
"Colon, Michigan","Colón, Panama","(41.9583823, -85.3249817)","(9.3553005, -79.8974085)"
"Panama City, Florida","Panama City, Panama","(30.1586518, -85.6602936)","(8.9714493, -79.5341802)"
"Portobello, Maryland","Portobelo, Colón, Panama","(38.1756818, -76.4532855)","(9.50043205, -79.61041157871679)"
"Callao, Utah","Callao, Peru","(39.8977179, -113.708602)","(-12.066667, -77.15)"
"Callao, Missouri","Callao, Peru","(39.7608647, -92.6232452)","(-12.066667, -77.15)"
"Pasco, Washington","Cerro de Pasco, Peru","(46.2306739, -119.0921)","(-10.6835926, -76.2561123)"
"Cuzco, Indiana","Cusco, Peru","(38.4750548, -86.7227705)","(-13.5170887, -71.9785356)"
"Lima, Ohio","Lima, Peru","(40.7399785, -84.105006)","(-12.0621065, -77.0365256)"
"Peru, Nebraska","Perú, Peru","(40.481446, -95.730792)","(-6.8699697, -75.0458515)"
"Peru, Illinois","Perú, Peru","(41.3272919, -89.1287636)","(-6.8699697, -75.0458515)"
"Peru, New York","Perú, Peru","(44.578486, -73.527031)","(-6.8699697, -75.0458515)"
"Peru, Indiana","Perú, Peru","(40.7537253, -86.0690325)","(-6.8699697, -75.0458515)"
"Peru, Kansas","Perú, Peru","(37.0813287, -96.0963758)","(-6.8699697, -75.0458515)"
"Peru, Pennsylvania","Perú, Peru","(40.8547842, -77.7666667)","(-6.8699697, -75.0458515)"
"Peru, Vermont","Perú, Peru","(43.2298853, -72.8992081)","(-6.8699697, -75.0458515)"
"Peru, Maine","Perú, Peru","(44.50679, -70.405884)","(-6.8699697, -75.0458515)"
"Peru, Iowa","Perú, Peru","(41.2267591, -93.9262466)","(-6.8699697, -75.0458515)"
"Peru, West Virginia","Perú, Peru","(38.8411206, -79.0741638)","(-6.8699697, -75.0458515)"
"Manila, Arkansas","Manila, Philippines","(35.8800733, -90.1670393)","(14.5906346, 120.9799964)"
"Manila, Utah","Manila, Philippines","(40.9880142, -109.722649)","(14.5906346, 120.9799964)"
"Cestohowa, Texas","Częstochowa, Poland","(29.0099721, -97.9347253)","(50.8120466, 19.113213)"
"Elbing, Kansas","Elbląg (German: Elbing), Poland","(38.0527925, -97.1278103)",
"Danzig, North Dakota","Gdańsk (German: Danzig), Poland","(46.1380296, -99.474836)","(54.3741085, 18.62233671517559)"
"Gnesen Township, Minnesota","Gniezno, Poland","(47.025544100000005, -92.11189309280829)","(52.5359736, 17.595889)"
"New Glatz, Maryland","Kłodzko (German: Glatz), Poland","(38.7734473, -77.0060867)",
"Krakow, Wisconsin","Kraków, Poland","(44.7617092, -88.251823)","(50.0469432, 19.997153435836697)"
"Lublin, Wisconsin","Lublin, Poland","(45.0755468, -90.7272174)","(51.250559, 22.5701022)"
"Friedheim, Missouri","Miasteczko Krajeńskie (German: Friedheim), Poland","(37.5700526, -89.8201027)",
"Opole, Minnesota","Opole, Poland","(45.746632, -94.3688889)","(50.6668184, 17.9236408)"
"Posen, Illinois","Poznań (German: Posen), Poland","(41.6317008, -87.681437)",
"Posen, Michigan","Poznań (German: Posen), Poland","(45.261957, -83.698878)",
"Radom, Illinois","Radom, Poland","(38.2819943, -89.1922994)","(51.41716055, 21.160944780832743)"
"Stettin, Wisconsin","Szczecin (German: Stettin), Poland","(44.98970625, -89.7857430119283)",
"Tarnov, Nebraska","Tarnów, Poland","(41.6154323, -97.5023816)","(50.0123784, 20.9880739)"
"Torun, Wisconsin","Toruń, Poland","(44.6132102, -89.5089568)","(53.0102721, 18.6048094)"
"Warsaw, Illinois","Warsaw, Poland","(40.359211, -91.4345978)","(52.2337172, 21.071432235636493)"
"Warsaw, Indiana","Warsaw, Poland","(41.2381017, -85.8530544)","(52.2337172, 21.071432235636493)"
"Warsaw, Missouri","Warsaw, Poland","(38.2442186, -93.3774013)","(52.2337172, 21.071432235636493)"
"Warsaw, Minnesota","Warsaw, Poland","(44.2494076, -93.3938305)","(52.2337172, 21.071432235636493)"
"Warsaw, New York","Warsaw, Poland","(42.7401871, -78.1325548)","(52.2337172, 21.071432235636493)"
"Breslau, Texas","Wrocław (German: Breslau), Poland","(29.5230165, -96.9966499)",
"Poland, Herkimer County, New York","Poland, Poland","(43.225693, -75.06134)","(52.215933, 19.134422)"
"Lisbon, Connecticut","Lisbon, Portugal","(41.5866851, -72.0207809)","(38.7077507, -9.1365919)"
"Lisbon, Florida","Lisbon, Portugal","(28.870544, -81.7895228)","(38.7077507, -9.1365919)"
"Lisbon, Illinois","Lisbon, Portugal","(41.4814196, -88.482293)","(38.7077507, -9.1365919)"
"Lisbon, Indiana","Lisbon, Portugal","(41.4111605, -85.2596974)","(38.7077507, -9.1365919)"
"Lisbon, Iowa","Lisbon, Portugal","(41.9211165, -91.3854913)","(38.7077507, -9.1365919)"
"Lisbon, Louisiana","Lisbon, Portugal","(32.7855505, -92.85856854932214)","(38.7077507, -9.1365919)"
"Lisbon, Maine","Lisbon, Portugal","(44.0314649, -70.1044975)","(38.7077507, -9.1365919)"
"Lisbon, Maryland","Lisbon, Portugal","(39.3369974, -77.0736153)","(38.7077507, -9.1365919)"
"Lisbon, Missouri","Lisbon, Portugal","(39.1064149, -92.9063013)","(38.7077507, -9.1365919)"
"Lisbon, New Hampshire","Lisbon, Portugal","(44.2135187, -71.9107884)","(38.7077507, -9.1365919)"
"Lisbon, New York","Lisbon, Portugal","(44.727467, -75.321236)","(38.7077507, -9.1365919)"
"Lisbon, North Dakota","Lisbon, Portugal","(46.441634, -97.68121)","(38.7077507, -9.1365919)"
"Lisbon, Columbiana County, Ohio","Lisbon, Portugal","(40.7720044, -80.7681336)","(38.7077507, -9.1365919)"
"Lisbon, Clark County, Ohio","Lisbon, Portugal","(39.8608934, -83.6352011)","(38.7077507, -9.1365919)"
"Lisbon, Waukesha County, Wisconsin","Lisbon, Portugal","(43.1498155, -88.2467511)","(38.7077507, -9.1365919)"
"Lisbon, Juneau County, Wisconsin","Lisbon, Portugal","(43.8402785, -90.13184811065248)","(38.7077507, -9.1365919)"
"New Lisbon, Henry County, Indiana","Lisbon, Portugal","(39.8633797, -85.2630216)","(38.7077507, -9.1365919)"
"New Lisbon, Randolph County, Indiana","Lisbon, Portugal","(40.2436572, -84.8244072)","(38.7077507, -9.1365919)"
"New Lisbon, New Jersey","Lisbon, Portugal","(39.9581699, -74.6279344)","(38.7077507, -9.1365919)"
"New Lisbon, New York","Lisbon, Portugal","(42.5878535, -75.1840544)","(38.7077507, -9.1365919)"
"New Lisbon, Wisconsin","Lisbon, Portugal","(43.8791358, -90.1654067)","(38.7077507, -9.1365919)"
"Sitka, Alaska","Arkhangelsk, Russia","(57.4086082, -135.4596206)","(64.543022, 40.537121)"
"Borodino, New York","Borodino, Russia","(42.8589565, -76.3379875)","(55.9, 94.89365)"
"Kremlin, Oklahoma","Moscow Kremlin, Russia","(36.5472537, -97.8314456)","(55.7516212, 37.618122044334896)"
"Liebenthal, Kansas","Liebental (Lubonironvka), Russia","(38.6550128, -99.3192707)",
"Catharine, Kansas","Marks (Katharinenstadt), Russia","(38.9272337, -99.216766)",
"Moscow, Idaho","Moscow, Russia","(46.7323875, -117.000165)","(55.625578, 37.6063916)"
"Moscow Mills, Missouri","Moscow, Russia","(38.9478267, -90.9181916)","(55.625578, 37.6063916)"
"Moscow, Texas","Moscow, Russia","(30.9132479, -94.8252089)","(55.625578, 37.6063916)"
"Moscow, Ohio","Moscow, Russia","(38.8570117, -84.2291017)","(55.625578, 37.6063916)"
"Munjor, Kansas","Obermunjor (Kriwowskoje), Russia","(38.8111231, -99.2648236)",
"Pfeifer, Kansas","Pfeifer (Gnilushka), Russia","(38.7080679, -99.1656536)",
"St. Petersburg, Florida","Saint Petersburg, Russia","(27.7700475, -82.6359078)","(59.938732, 30.316229)"
"Schoenchen, Kansas","Schoenchen (Paninskaja), Russia","(38.7133459, -99.3323264)",
"Tilsit, Missouri","Sovetsk, Kaliningrad Oblast, Russia","(37.3303298, -89.7420395)","(55.0809688, 21.8882673)"
"Mecca, California","Mecca, Saudi Arabia","(33.5700371, -116.0744098)","(21.420847, 39.826869)"
"Medina, Ohio","Medina, Saudi Arabia","(41.1000764, -81.9382517)","(24.471153, 39.6111216)"
"Medina, Minnesota","Medina, Saudi Arabia","(45.0151361, -93.574375)","(24.471153, 39.6111216)"
"Belgrade, Montana","Belgrade, Serbia","(45.773279, -111.184535)","(44.8178131, 20.4568974)"
"Belgrade, Maine","Belgrade, Serbia","(44.447507, -69.833221)","(44.8178131, 20.4568974)"
"Singapore, Michigan","Singapore, Singapore","(42.6502761, -86.2109779)","(1.357107, 103.8194992)"
"Nitra, Georgia","Nitra, Slovakia","(33.7263688, -85.2082935)","(48.31295, 18.0894593)"
"Slovak, Arkansas","Slovak, Slovakia","(34.6487059, -91.5820749)","(48.7411522, 19.4528646)"
"New Idria, California","Idrija, Slovenia","(36.4003796, -120.6744516)","(46.0023983, 14.0273014)"
"Traunik, Michigan","Travnik, Loški Potok, Slovenia","(46.2607826, -86.9695914)","(45.6906786, 14.5990701)"
"Johannesburg, California","Johannesburg, South Africa","(35.3727406, -117.6347823)","(-26.205, 28.049722)"
"Kimberly, Missouri","Kimberley, Northern Cape, South Africa","(39.4317014, -92.4890712)","(-28.7383012, 24.7642251)"
"Ladysmith, Virginia","Ladysmith, KwaZulu-Natal, South Africa","(38.0176363, -77.5152606)","(-28.551944, 29.778333)"
"Pretoria, Georgia","Pretoria, South Africa","(31.5043413, -84.3171321)","(-25.7459277, 28.1879101)"
"Randsburg, California","Randburg, South Africa","(35.369361, -117.65985508256202)","(-26.096111, 27.975)"
"Corunna, Michigan","A Coruña, Spain","(42.9819728, -84.1177451)","(43.3709703, -8.3959425)"
"Aledo, Illinois","Aledo, Murcia, Spain","(41.1998568, -90.7486349)","(37.9744268, -1.14714)"
"Alhambra, California","Alhambra (a building), Spain","(34.093042, -118.12706)",
"Alhambra, Illinois","Alhambra (a building), Spain","(38.88838, -89.7314813)",
"New Almaden, California","Almadén, Spain","(37.1760567, -121.8207855)","(38.7742489, -4.832835)"
"Altura, Minnesota","Altura, Castellón, Spain","(44.0716301, -91.9396022)","(39.8512304, -0.5128608)"
"Avilla, Indiana","Ávila, Spain","(41.3658823, -85.2388673)","(40.656478, -4.7002172)"
"Barcelona, New York","Barcelona, Spain","(42.3403356, -79.5958808)","(41.3828939, 2.1774322)"
"Cadiz, Indiana","Cádiz, Spain","(39.9513413, -85.4865738)","(36.5297438, -6.2928976)"
"Cadiz, Kentucky","Cádiz, Spain","(36.8650496, -87.835295)","(36.5297438, -6.2928976)"
"Cadiz, Ohio","Cádiz, Spain","(40.2728452, -80.9967628)","(36.5297438, -6.2928976)"
"Carthagena, Ohio","Cartagena, Spain","(40.4367135, -84.5599552)","(37.6019353, -0.9841152)"
"Cordova, Nebraska","Córdoba, Andalusia, Spain","(40.71723, -97.353103)","(37.8845813, -4.7760138)"
"Galisteo, New Mexico","Galisteo, Cáceres, Extremadura, Spain","(35.3952637, -105.947079)","(39.9759838, -6.2677508)"
"Granada, Minnesota","Granada, Spain","(43.6958954, -94.3478145)","(37.1734995, -3.5995337)"
"Iberia, Missouri","Iberia, Spain","(38.0903154, -92.2926747)","(39.8952029, -4.49836304748148)"
"Laredo, Texas","Laredo, Cantabria, Spain","(27.5030915, -99.5075644)","(43.41063, -3.4173)"
"Leon, New York","León, Spain","(42.293116, -79.016428)","(42.63414505, -5.971415104539984)"
"Leon, Oklahoma","León, Spain","(33.877907, -97.42901841843721)","(42.63414505, -5.971415104539984)"
"Loxa, Illinois","Loja, Granada, Spain","(39.4972564, -88.2672662)","(37.1664839, -4.1496374)"
"Madrid, Alabama","Madrid, Spain","(31.035862, -85.39815287941555)","(40.4167047, -3.7035825)"
"Madrid, Colorado","Madrid, Spain","(40.4240986, -3.7131456)","(40.4167047, -3.7035825)"
"Madrid, Maine","Madrid, Spain","(44.8645016, -70.4620115)","(40.4167047, -3.7035825)"
"Madrid, Nebraska","Madrid, Spain","(40.850206, -101.5437395)","(40.4167047, -3.7035825)"
"Madrid, New Mexico","Madrid, Spain","(35.4067261, -106.1522134)","(40.4167047, -3.7035825)"
"Madrid, New York","Madrid, Spain","(44.750147, -75.130874)","(40.4167047, -3.7035825)"
"New Madrid, Missouri","Madrid, Spain","(36.5749606, -89.6780945)","(40.4167047, -3.7035825)"
"Malaga, New Jersey","Málaga, Spain","(39.5698375, -75.0476749)","(36.7213028, -4.4216366)"
"Malaga, New Mexico","Málaga, Spain","(32.2240105, -104.0724367)","(36.7213028, -4.4216366)"
"Port Mahon, Delaware","Mahón, Spain","(39.1853907, -75.40103)","(39.8894922, 4.2662071)"
"Oviedo, Florida","Oviedo, Spain","(28.6702526, -81.2084941)","(43.3618625, -5.8483581)"
"Palos Park, Illinois","Palos de la Frontera, Spain","(41.6673636, -87.8304952)","(37.2276501, -6.895393)"
"Segovia, Texas","Segovia, Spain","(30.4193574, -99.67034)","(40.9481192, -4.1172101)"
"Seville, Florida","Seville, Spain","(29.3169208, -81.4925714)","(37.3886303, -5.9953403)"
"Seville, Ohio","Seville, Spain","(41.010055, -81.86236)","(37.3886303, -5.9953403)"
"Toledo, Ohio","Toledo, Spain","(41.6529143, -83.5378173)","(39.8560679, -4.0239568)"
