Namesake,Original,Namesake Coordinates,Original Coordinates
"Kiron, Iowa","Jilin City, China","(42.1947003, -95.3269674)","(43.8358044, 126.5434908)"
"Nankin Township, Michigan","Nanjing, China",,"(32.0438284, 118.7788631)"
"Shanghai, West Virginia","Shanghai, China","(39.4414872, -78.1322246)","(31.2312707, 121.4700152)"
"Shanghai City, Illinois","Shanghai, China","(41.0508705, -90.4967994)","(31.2312707, 121.4700152)"
"Woosung, Illinois","Wusong, China","(41.9033646, -89.5409408)","(26.4674661, 108.4749741)"
"Bogota, Illinois","Bogotá, Colombia","(38.9183782, -88.2400414)","(4.6529539, -74.0835643)"
"Bogata, Texas","Bogotá, Colombia","(33.4711597, -95.2144967)","(4.6529539, -74.0835643)"
"Cuba, Missouri","Cuba, Cuba","(38.063021, -91.4032473)","(23.0131338, -80.8328748)"
"Cuba Township, Lake County, Illinois","Cuba, Cuba","(41.9433969, -87.6806315)","(23.0131338, -80.8328748)"
"Havana, Illinois","Havana, Cuba","(40.3014316, -90.0633625)","(23.135305, -82.3589631)"
"Matanzas, Kentucky","Matanzas, Cuba","(37.4506022, -87.0586067)","(23.0469236, -81.5783032)"
"Matanzas Beach, Illinois","Matanzas, Cuba","(40.2430996, -90.1040071)","(23.0469236, -81.5783032)"
"Miramar, Florida","Miramar, Havana, Cuba","(25.9873137, -80.2322706)","(23.1176342, -82.4311878)"
"Yara, Minnesota","Yara, Cuba",,"(20.2718248, -76.9537098)"
"Beroun, Minnesota","Beroun, Czech Republic","(45.910232, -92.9552066)","(49.9640292, 14.0733907)"
"Bruno, Nebraska","Brno, Czech Republic","(41.2839562, -96.9599922)","(49.1922443, 16.6113382)"
"Loucky, Nebraska","Dolní Loučky, Czech Republic",,"(49.3609921, 16.3587072)"
"Taus, Wisconsin","Domažlice (German: Taus), Czech Republic","(44.1891603, -87.8620362)",
"Frenstat, Texas","Frenštát pod Radhoštěm, Czech Republic","(30.3974309, -96.6533068)","(49.5474224, 18.2117067)"
"Frydek, Texas","Frýdek-Místek, Czech Republic","(29.7532888, -96.0882925)","(49.685635, 18.3483416)"
